"idBank";"Dernière mise à jour";"Autres regroupements";"﻿Base de l'indice";"Correction";"IDBANK pour sdmx";"Activité";"Zone géographique";"Nature";"Puissance";"Indicateur";"Unité";"Périodicité"
"010537205";"05/04/2023 08:45";"Sans objet";"2015";"Non corrigé";"BDM_EUR";"06 - Extraction d'hydrocarbures";"France métropolitaine";"Indice";"0";"Indice de la production industrielle";"sans objet";"Mensuelle"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
